month,worker_id,market,revenue,revenue_minus_direct_costs
2021-04-01,V7FblBcnOGKX16NXTPmJEhn0ZYI=,sf-bay-area,375,75
2021-04-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,1500,300
2021-04-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,1250,250
2021-04-01,H3NyZAzxCwRf2bj28OqELM8eUKI=,sf-bay-area,187.5,37.5
2021-04-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,1500,300
2021-04-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,750,150
2021-04-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,250,0
2021-04-01,lkwF+fYXS3q+ZNNwcOM3ijs0qAE=,kansas-city,147.06,22.059
2021-05-01,eRGa/ZPLUmPRd5J9S2IeLBRDb+w=,sf-bay-area,260,52
2021-05-01,fq2P7dtIfEytINxlBgEww0/I26s=,sf-bay-area,250,0
2021-05-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,500,0
2021-05-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,3500,0
2021-05-01,uAE24X01M3Q39BNBGYQZBGtLS74=,kansas-city,735.32,110.298
2021-05-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,1323.54,198.531
2021-05-01,3H1+uQydGDRQ+NKkClO40Ae5qqk=,kansas-city,147.06,22.059
2021-05-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,294.12,44.118
2021-05-01,wKd4gfaZF8EDf0qsDnCixk8B/Ys=,sf-bay-area,1197.5,52
2021-05-01,2HmyOemaoIvMDePXy2Yj9K1Fbrw=,sf-bay-area,3075,615
2021-05-01,37YA1x6M7JQuPeewWgAf/eXHo0E=,sf-bay-area,1500,0
2021-05-01,SI8y2jAwfIgAyq6CymrcggVDssY=,sf-bay-area,1355,271
2021-05-01,CjfKNa8ObRoQ91QyLSd+YSF/9ok=,kansas-city,540,81
2021-05-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,1960,392
2021-05-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,1750,350
2021-05-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,3500,700
2021-05-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,2750,550
2021-05-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,2750,0
2021-05-01,hcdxV+zAhwyArVd3fguftyMTuxM=,sf-bay-area,1900,380
2021-05-01,4FEzmV1a4J/eo7xHLVoP9ZqYEMw=,sf-bay-area,500,100
2021-05-01,3ZhJAvVkKChkMRH4WS4CNPOlfQY=,sf-bay-area,1000,0
2021-05-01,jNHhrC6PvazFMiImPkgsanU0vd8=,sf-bay-area,250,0
2021-05-01,f+oKar2FdLZ0QAVTUzMGGikEOes=,sf-bay-area,750,150
2021-05-01,H9glcee6H56xrH9j/qEegonmBiA=,kansas-city,294.12,44.118
2021-06-01,lLyFgmbQMRthsn0n1pqo53zytsk=,sf-bay-area,3250,0
2021-06-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,250,0
2021-06-01,XYiOrs4XoMyEjqxYgngKE2FlCUc=,sf-bay-area,750,0
2021-06-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,4250,0
2021-06-01,NOwlYePCkDNI3ElO70+70wowL9g=,sf-bay-area,450,40
2021-06-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,661.77,99.2655
2021-06-01,3H1+uQydGDRQ+NKkClO40Ae5qqk=,kansas-city,735.3,110.295
2021-06-01,YJiVZ1wEV+FRXgDsWf6OxrhAieY=,sf-bay-area,200,40
2021-06-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,735.3,110.295
2021-06-01,2HmyOemaoIvMDePXy2Yj9K1Fbrw=,sf-bay-area,4197.5,839.5
2021-06-01,37YA1x6M7JQuPeewWgAf/eXHo0E=,sf-bay-area,750,0
2021-06-01,SI8y2jAwfIgAyq6CymrcggVDssY=,sf-bay-area,2290,458
2021-06-01,N6v+DSIZ7RV0Jko60aWpaQW5f2U=,sf-bay-area,710,142
2021-06-01,CjfKNa8ObRoQ91QyLSd+YSF/9ok=,kansas-city,270,40.5
2021-06-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,520,50
2021-06-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,3043.75,608.75
2021-06-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,4500,900
2021-06-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,1500,300
2021-06-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,2000,0
2021-06-01,hcdxV+zAhwyArVd3fguftyMTuxM=,sf-bay-area,1660,332
2021-06-01,4FEzmV1a4J/eo7xHLVoP9ZqYEMw=,sf-bay-area,105,21
2021-06-01,k3+9FFsW0ILs12znGrKekLQAsYY=,sf-bay-area,187.5,37.5
2021-06-01,3ZhJAvVkKChkMRH4WS4CNPOlfQY=,sf-bay-area,2500,0
2021-06-01,jNHhrC6PvazFMiImPkgsanU0vd8=,sf-bay-area,1710,42
2021-06-01,f+oKar2FdLZ0QAVTUzMGGikEOes=,sf-bay-area,1460,292
2021-06-01,JPrfc81zw9EdKs1qSkBVQ6+3rnw=,sf-bay-area,2000,400
2021-06-01,F4fcgHN/3hCGUvTPgboz6k2IPKQ=,sf-bay-area,637.5,37.5
2021-06-01,xalg0TCnw8p8LNeIiU8Cyp77bns=,sf-bay-area,2572.5,464.5
2021-06-01,WTmRyFAYOIDMnt1c1IIssPlrHI4=,sf-bay-area,250,50
2021-06-01,wuSwSLXSx8YnW2BNYllVGHn2hAE=,sf-bay-area,2630,526
2021-06-01,yqIMUVIFoDsdDEmpF7EdG9CpdfU=,sf-bay-area,450,0
2021-06-01,tPBsLzmscbWlZyXobzh8EbNFaiw=,sf-bay-area,687.5,137.5
2021-06-01,B/YOggdPTbPWjtTmIr6uk6JeCg8=,sf-bay-area,2215,443
2021-06-01,WFreomFDGMHCzMZYwYkTWKCY7sA=,sf-bay-area,1156.25,231.25
2021-06-01,sZGJ7nYbh2TbRs0nNOZo0nLwlrw=,sf-bay-area,1843.75,318.75
2021-06-01,qWdWWtYiLYLBHFmb+rGlkjBNui8=,sf-bay-area,2031.25,406.25
2021-06-01,lYtdUpQjXYj5XfmY4W6YDJgEPps=,sf-bay-area,843.75,150
2021-06-01,ukKrl0c45Ta0mJPBJARd4GDLmqQ=,sf-bay-area,1250,250
2021-06-01,CuBELAUfScP9a6SQ0F0yhzO+a7g=,sf-bay-area,1130,226
2021-06-01,4GXYmFYe+E4OqTtBE9ll0AuAuWs=,sf-bay-area,500,100
2021-06-01,MnNDclOtUivTIgMliX3OB/TBIuc=,sf-bay-area,375,75
2021-06-01,LrozN2Cf73XWVfGmHRery9O4jR8=,sf-bay-area,190,38
2021-06-01,H9glcee6H56xrH9j/qEegonmBiA=,kansas-city,441.18,66.177
2021-07-01,lLyFgmbQMRthsn0n1pqo53zytsk=,sf-bay-area,2750,0
2021-07-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,710,42
2021-07-01,XYiOrs4XoMyEjqxYgngKE2FlCUc=,sf-bay-area,1250,0
2021-07-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,4660,82
2021-07-01,NOwlYePCkDNI3ElO70+70wowL9g=,sf-bay-area,680,86
2021-07-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,2647.08,397.062
2021-07-01,3H1+uQydGDRQ+NKkClO40Ae5qqk=,kansas-city,441.18,66.177
2021-07-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,1323.54,176.472
2021-07-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,1135,227
2021-07-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,2747.5,549.5
2021-07-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,2040,408
2021-07-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,500,100
2021-07-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,1750,0
2021-07-01,hcdxV+zAhwyArVd3fguftyMTuxM=,sf-bay-area,3305,661
2021-07-01,4FEzmV1a4J/eo7xHLVoP9ZqYEMw=,sf-bay-area,630,126
2021-07-01,3ZhJAvVkKChkMRH4WS4CNPOlfQY=,sf-bay-area,1000,0
2021-07-01,jNHhrC6PvazFMiImPkgsanU0vd8=,sf-bay-area,2250,0
2021-07-01,f+oKar2FdLZ0QAVTUzMGGikEOes=,sf-bay-area,3030,606
2021-07-01,JPrfc81zw9EdKs1qSkBVQ6+3rnw=,sf-bay-area,3258.75,583
2021-07-01,xalg0TCnw8p8LNeIiU8Cyp77bns=,sf-bay-area,0,0
2021-07-01,WTmRyFAYOIDMnt1c1IIssPlrHI4=,sf-bay-area,3690,700
2021-07-01,wuSwSLXSx8YnW2BNYllVGHn2hAE=,sf-bay-area,2777.5,515.5
2021-07-01,yqIMUVIFoDsdDEmpF7EdG9CpdfU=,sf-bay-area,900,0
2021-07-01,tPBsLzmscbWlZyXobzh8EbNFaiw=,sf-bay-area,200,40
2021-07-01,B/YOggdPTbPWjtTmIr6uk6JeCg8=,sf-bay-area,3895,779
2021-07-01,sZGJ7nYbh2TbRs0nNOZo0nLwlrw=,sf-bay-area,481.25,96.25
2021-07-01,qWdWWtYiLYLBHFmb+rGlkjBNui8=,sf-bay-area,3612,722.4
2021-07-01,lYtdUpQjXYj5XfmY4W6YDJgEPps=,sf-bay-area,1235,178.25
2021-07-01,ukKrl0c45Ta0mJPBJARd4GDLmqQ=,sf-bay-area,3665,683
2021-07-01,CuBELAUfScP9a6SQ0F0yhzO+a7g=,sf-bay-area,3377.5,675.5
2021-07-01,4GXYmFYe+E4OqTtBE9ll0AuAuWs=,sf-bay-area,3195,639
2021-07-01,MnNDclOtUivTIgMliX3OB/TBIuc=,sf-bay-area,1255,201
2021-07-01,lEoLaVcpisEqooYrG2DfGmfqCLA=,sf-bay-area,190,38
2021-07-01,FEeM52QeQa44MfsTsBt3QQVV/LM=,sf-bay-area,610,122
2021-07-01,LrozN2Cf73XWVfGmHRery9O4jR8=,sf-bay-area,2160,432
2021-07-01,7i184D5g35PW2owZd4qKRHUPWsA=,kansas-city,735.3,110.295
2021-07-01,lcnfNAsbO6xF8Z3qsfpkPidGQOU=,sf-bay-area,500,100
2021-07-01,OwKpm3oQZk3DksLJBOGhud9a9U0=,sf-bay-area,2720,544
2021-07-01,QBvnDBU9tIMV5LTo089x+09N8lk=,sf-bay-area,4093.75,818.75
2021-07-01,X5esqApQOBZSBUG3rOVxJtA1nQY=,sf-bay-area,570,114
2021-07-01,JYsYk1S2NWToMmzMdJnrkY1ThOw=,sf-bay-area,750,100
2021-07-01,NkCECbGW/fhvUPMea1P5hwQame4=,sf-bay-area,370,74
2021-07-01,aQe3pKynzF7Wrk3zULCawgKwtjQ=,sf-bay-area,200,40
2021-07-01,uofzTeCIGnMUUfIfkGjH7c3M6xo=,sf-bay-area,187.5,0
2021-07-01,HKhnmyHn/xlwAVhXft1lcfZKva8=,other,0,0
2021-07-01,gk9CPJSJl8QWk+krIsuOJFbr8Yo=,sf-bay-area,500,0
2021-07-01,+NsYf214Kvuq6YXrOcT50Z9D/pw=,sf-bay-area,700,140
2021-07-01,co30vu2tzAqwEXn3Drbcj05lsHA=,sf-bay-area,750,150
2021-07-01,dBwGliCFBkOXi66VBgtpUdtEde8=,sf-bay-area,1500,300
2021-07-01,9am2wGpQOVO6PLle8T8yraluip8=,sf-bay-area,500,100
2021-07-01,fcbsRt+TZYYd7noKaVfWFRwgkAk=,sf-bay-area,468.75,93.75
2021-07-01,NyI0UDlHOjxTS8At4adJOv4VEOU=,sf-bay-area,518.75,35
2021-07-01,H9glcee6H56xrH9j/qEegonmBiA=,kansas-city,1911.78,286.767
2021-08-01,eRGa/ZPLUmPRd5J9S2IeLBRDb+w=,sf-bay-area,187.5,37.5
2021-08-01,lLyFgmbQMRthsn0n1pqo53zytsk=,sf-bay-area,3500,0
2021-08-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,210,42
2021-08-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,4465,168
2021-08-01,uAE24X01M3Q39BNBGYQZBGtLS74=,kansas-city,514.72,77.208
2021-08-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,2647.08,397.062
2021-08-01,3H1+uQydGDRQ+NKkClO40Ae5qqk=,kansas-city,1176.48,176.472
2021-08-01,YJiVZ1wEV+FRXgDsWf6OxrhAieY=,sf-bay-area,215,43
2021-08-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,1397.07,187.5015
2021-08-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,3445,689
2021-08-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,4835,917
2021-08-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,1860,329
2021-08-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,920,134
2021-08-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,500,0
2021-08-01,hcdxV+zAhwyArVd3fguftyMTuxM=,sf-bay-area,440,88
2021-08-01,4FEzmV1a4J/eo7xHLVoP9ZqYEMw=,sf-bay-area,1027.5,205.5
2021-08-01,k3+9FFsW0ILs12znGrKekLQAsYY=,sf-bay-area,187.5,37.5
2021-08-01,jNHhrC6PvazFMiImPkgsanU0vd8=,sf-bay-area,1680,86
2021-08-01,f+oKar2FdLZ0QAVTUzMGGikEOes=,sf-bay-area,430,43
2021-08-01,JPrfc81zw9EdKs1qSkBVQ6+3rnw=,sf-bay-area,3230,646
2021-08-01,F4fcgHN/3hCGUvTPgboz6k2IPKQ=,sf-bay-area,0,0
2021-08-01,WTmRyFAYOIDMnt1c1IIssPlrHI4=,sf-bay-area,2465,493
2021-08-01,wuSwSLXSx8YnW2BNYllVGHn2hAE=,sf-bay-area,1617.5,283.5
2021-08-01,yqIMUVIFoDsdDEmpF7EdG9CpdfU=,sf-bay-area,600,0
2021-08-01,B/YOggdPTbPWjtTmIr6uk6JeCg8=,sf-bay-area,1640,285
2021-08-01,sZGJ7nYbh2TbRs0nNOZo0nLwlrw=,sf-bay-area,187.5,37.5
2021-08-01,qWdWWtYiLYLBHFmb+rGlkjBNui8=,sf-bay-area,3415,625
2021-08-01,lYtdUpQjXYj5XfmY4W6YDJgEPps=,sf-bay-area,610,122
2021-08-01,ukKrl0c45Ta0mJPBJARd4GDLmqQ=,sf-bay-area,1300,260
2021-08-01,CuBELAUfScP9a6SQ0F0yhzO+a7g=,sf-bay-area,3656.25,693.25
2021-08-01,4GXYmFYe+E4OqTtBE9ll0AuAuWs=,sf-bay-area,4057.5,811.5
2021-08-01,lEoLaVcpisEqooYrG2DfGmfqCLA=,sf-bay-area,1880,336
2021-08-01,FEeM52QeQa44MfsTsBt3QQVV/LM=,sf-bay-area,505,63
2021-08-01,LrozN2Cf73XWVfGmHRery9O4jR8=,sf-bay-area,2777.5,555.5
2021-08-01,7i184D5g35PW2owZd4qKRHUPWsA=,kansas-city,367.65,55.1475
2021-08-01,OwKpm3oQZk3DksLJBOGhud9a9U0=,sf-bay-area,3396,679.2
2021-08-01,QBvnDBU9tIMV5LTo089x+09N8lk=,sf-bay-area,900,180
2021-08-01,X5esqApQOBZSBUG3rOVxJtA1nQY=,sf-bay-area,190,38
2021-08-01,NkCECbGW/fhvUPMea1P5hwQame4=,sf-bay-area,2201,350.2
2021-08-01,S9vaVbShrZPAH6fwqs1uU4l6cHc=,sf-bay-area,1230,208
2021-08-01,+NsYf214Kvuq6YXrOcT50Z9D/pw=,sf-bay-area,1075,215
2021-08-01,co30vu2tzAqwEXn3Drbcj05lsHA=,sf-bay-area,775,135
2021-08-01,dBwGliCFBkOXi66VBgtpUdtEde8=,sf-bay-area,3600,720
2021-08-01,9am2wGpQOVO6PLle8T8yraluip8=,sf-bay-area,3363.75,672.75
2021-08-01,NBVVdhwGCdhs7BwfmeYNy8zvqSk=,sf-bay-area,1151.25,230.25
2021-08-01,DvOawDzrkUy+cy8EjKI7gvurmbU=,kansas-city,294.12,44.118
2021-08-01,EMH4hjp0q3uXc9Tgy22nm1YNhAA=,sf-bay-area,1400,0
2021-08-01,eHMkj0IFJHEyrj43YJGMs8QcxdE=,sf-bay-area,1000,0
2021-08-01,RhNHiC6Chrs3kNv9DcjBxQEza5I=,sf-bay-area,200,0
2021-08-01,d2r0f1xebLd35E0tcBJl90WHE88=,sf-bay-area,800,0
2021-08-01,4gYuyy1gYvKBL8IIfPk8mz/GAUw=,sf-bay-area,400,0
2021-08-01,lX8rN35bCiQiZoPDVckmnZCLDGM=,sf-bay-area,390,78
2021-08-01,fcbsRt+TZYYd7noKaVfWFRwgkAk=,sf-bay-area,1581.25,316.25
2021-08-01,ZwOvIQC0wi+15ZyTruNIGy276Ps=,sf-bay-area,200,0
2021-08-01,FM5LmZMqiNfDM5nrDaWnm/7KnVM=,sf-bay-area,1200,0
2021-08-01,NyI0UDlHOjxTS8At4adJOv4VEOU=,sf-bay-area,3991.25,560.25
2021-08-01,kOGR8WLBo3kpiWDfb6t3neO3LeY=,sf-bay-area,600,120
2021-08-01,yJABC+vNybhYesRSBIVDrqm32Wo=,kansas-city,1029.42,154.413
2021-08-01,aqHOqnyJmtL/15DZFbz2hb7VqCA=,sf-bay-area,375,75
2021-08-01,wUBWz/i95/uC6Awc5aDV9WtRX4g=,sf-bay-area,400,0
2021-08-01,dsw5axLs/+BqbLnDeZBEQtWlbdE=,sf-bay-area,2805,561
2021-08-01,zURin1Km7PYhnQkUI3/cvdyUwjY=,sf-bay-area,1400,0
2021-08-01,vQu+PT35ciD9B/g3wuibbCk60yo=,sf-bay-area,100,0
2021-08-01,scUN36jmScKZYyUG2j8qDG/9ttM=,sf-bay-area,2705,491
2021-08-01,NVyBRV9yBRD2DIEwruamiXcmzEY=,sf-bay-area,570,0
2021-08-01,OcDpPUCOSpufP+NknkXZbaDFIv8=,sf-bay-area,1625,287
2021-08-01,htMQOW7joxmz8yugzCrg60RXwJU=,sf-bay-area,1500,300
2021-08-01,ADkuOJ9WKfGWLi1B2wsjjCihKQY=,sf-bay-area,193.75,38.75
2021-08-01,Zr0wOB3Y2UAZLGJpT+lykTFhpTU=,kansas-city,441.18,44.118
2021-08-01,BYTBWuopC2qNxnps6UXo6PHCxWM=,sf-bay-area,430,86
2021-08-01,jeb1mPJPtEw4Ig51SaW9W1QCsLY=,sf-bay-area,320,64
2021-08-01,kjmcsKeEIaeL77kXcJDnkQYNzDY=,sf-bay-area,250,0
2021-08-01,z8yQVuWBv9kOHhmcoY7bR2BbtXI=,sf-bay-area,250,0
2021-08-01,HFrdbRdcy6pYaB22IZfuL4/n7zw=,sf-bay-area,190,38
2021-08-01,+g/PsQcEH2VZT5aM7iUacoXRyq0=,sf-bay-area,200,0
2021-08-01,MoMLjEyzUwzoGl5aKVxxSCM1M6U=,sf-bay-area,200,0
2021-08-01,nd49eCDlW3v4s85nv/lkrhJCVWE=,sf-bay-area,600,0
2021-08-01,H9glcee6H56xrH9j/qEegonmBiA=,kansas-city,2647.08,397.062
2021-09-01,lLyFgmbQMRthsn0n1pqo53zytsk=,sf-bay-area,4000,0
2021-09-01,ZgJr9Oa6NQhBLV5HBB5H2W/1O8A=,sf-bay-area,1500,0
2021-09-01,X10QQ7pkZ9ICaUcdAp7eyJm1vF8=,sf-bay-area,2710,42
2021-09-01,NOwlYePCkDNI3ElO70+70wowL9g=,sf-bay-area,500,0
2021-09-01,uAE24X01M3Q39BNBGYQZBGtLS74=,kansas-city,919.13,137.8695
2021-09-01,7PL0PNUSCgc18FDblR8MuXwXmD0=,kansas-city,2352.96,352.944
2021-09-01,3H1+uQydGDRQ+NKkClO40Ae5qqk=,kansas-city,1764.72,264.708
2021-09-01,C8oZpIGJ2QaAVkde2PW9mDwAofM=,kansas-city,1764.72,264.708
2021-09-01,SI8y2jAwfIgAyq6CymrcggVDssY=,sf-bay-area,2000,400
2021-09-01,zAjK/QU728xUJnJn2Qm5PuK3xRo=,sf-bay-area,2680,536
2021-09-01,bNkFZYC9OBzN+4le4KlTXZkEv2U=,sf-bay-area,3155,631
2021-09-01,6BH6DX1933tZgDDwMgm27EtsiTo=,sf-bay-area,3110,622
2021-09-01,lvXewC7zwNWeIwVN0nCuuEhPixw=,sf-bay-area,500,100
2021-09-01,+bEd4jarxB7pK1+nj8SnZHcYaYI=,sf-bay-area,1250,0
2021-09-01,yxiycu21wfr1qlwNFhYXTEHsVwo=,sf-bay-area,0,0
2021-09-01,hcdxV+zAhwyArVd3fguftyMTuxM=,sf-bay-area,250,0
2021-09-01,jNHhrC6PvazFMiImPkgsanU0vd8=,sf-bay-area,1500,0
2021-09-01,f+oKar2FdLZ0QAVTUzMGGikEOes=,sf-bay-area,215,43
2021-09-01,JPrfc81zw9EdKs1qSkBVQ6+3rnw=,sf-bay-area,4110,822
2021-09-01,WTmRyFAYOIDMnt1c1IIssPlrHI4=,sf-bay-area,900,180
2021-09-01,wuSwSLXSx8YnW2BNYllVGHn2hAE=,sf-bay-area,700,140
2021-09-01,yqIMUVIFoDsdDEmpF7EdG9CpdfU=,sf-bay-area,1650,0
2021-09-01,B/YOggdPTbPWjtTmIr6uk6JeCg8=,sf-bay-area,710,142
2021-09-01,WFreomFDGMHCzMZYwYkTWKCY7sA=,sf-bay-area,767.5,153.5
2021-09-01,qWdWWtYiLYLBHFmb+rGlkjBNui8=,sf-bay-area,2377.5,475.5
2021-09-01,lYtdUpQjXYj5XfmY4W6YDJgEPps=,sf-bay-area,1470,294
2021-09-01,CuBELAUfScP9a6SQ0F0yhzO+a7g=,sf-bay-area,3015,603
2021-09-01,4GXYmFYe+E4OqTtBE9ll0AuAuWs=,sf-bay-area,3905,693
2021-09-01,MnNDclOtUivTIgMliX3OB/TBIuc=,sf-bay-area,0,0
2021-09-01,lEoLaVcpisEqooYrG2DfGmfqCLA=,sf-bay-area,1636,287.2
2021-09-01,FEeM52QeQa44MfsTsBt3QQVV/LM=,sf-bay-area,1550,272
2021-09-01,LrozN2Cf73XWVfGmHRery9O4jR8=,sf-bay-area,2362.5,472.5
2021-09-01,7i184D5g35PW2owZd4qKRHUPWsA=,kansas-city,882.36,132.354
2021-09-01,OwKpm3oQZk3DksLJBOGhud9a9U0=,sf-bay-area,630,86
2021-09-01,NkCECbGW/fhvUPMea1P5hwQame4=,sf-bay-area,2440,450
2021-09-01,S9vaVbShrZPAH6fwqs1uU4l6cHc=,sf-bay-area,900,180
2021-09-01,+NsYf214Kvuq6YXrOcT50Z9D/pw=,sf-bay-area,815,163
2021-09-01,co30vu2tzAqwEXn3Drbcj05lsHA=,sf-bay-area,675,93
2021-09-01,dBwGliCFBkOXi66VBgtpUdtEde8=,sf-bay-area,3920,784
2021-09-01,NBVVdhwGCdhs7BwfmeYNy8zvqSk=,sf-bay-area,4247.5,849.5
2021-09-01,EMH4hjp0q3uXc9Tgy22nm1YNhAA=,sf-bay-area,1400,0
2021-09-01,eHMkj0IFJHEyrj43YJGMs8QcxdE=,sf-bay-area,1200,0
2021-09-01,RhNHiC6Chrs3kNv9DcjBxQEza5I=,sf-bay-area,1600,0
2021-09-01,d2r0f1xebLd35E0tcBJl90WHE88=,sf-bay-area,600,0
2021-09-01,lX8rN35bCiQiZoPDVckmnZCLDGM=,sf-bay-area,4035,807
2021-09-01,fcbsRt+TZYYd7noKaVfWFRwgkAk=,sf-bay-area,1687.5,337.5
2021-09-01,FM5LmZMqiNfDM5nrDaWnm/7KnVM=,sf-bay-area,2000,0
2021-09-01,NyI0UDlHOjxTS8At4adJOv4VEOU=,sf-bay-area,2902.5,352.5
2021-09-01,kOGR8WLBo3kpiWDfb6t3neO3LeY=,sf-bay-area,380,76
2021-09-01,yJABC+vNybhYesRSBIVDrqm32Wo=,kansas-city,1323.54,198.531
2021-09-01,aqHOqnyJmtL/15DZFbz2hb7VqCA=,sf-bay-area,375,75
2021-09-01,dsw5axLs/+BqbLnDeZBEQtWlbdE=,sf-bay-area,3425,685
2021-09-01,vQu+PT35ciD9B/g3wuibbCk60yo=,sf-bay-area,200,0
2021-09-01,scUN36jmScKZYyUG2j8qDG/9ttM=,sf-bay-area,1910,382
